Date,Open,High,Low,Close,Adj Close,Volume
2018-12-28,1.220000,1.330000,1.160000,1.180000,1.180000,244500
2018-12-31,1.200000,1.270000,1.060000,1.210000,1.210000,354400
2019-01-02,1.170000,1.320000,1.160000,1.280000,1.280000,246400
2019-01-03,1.270000,1.310000,1.100000,1.250000,1.250000,136500
2019-01-04,1.270000,1.470000,1.190000,1.440000,1.440000,172700
2019-01-07,1.480000,1.580000,1.390000,1.500000,1.500000,168700
2019-01-08,1.520000,1.590000,1.400000,1.540000,1.540000,140200
2019-01-09,1.580000,1.580000,1.500000,1.560000,1.560000,79600
2019-01-10,1.530000,1.690000,1.450000,1.610000,1.610000,138200
2019-01-11,1.600000,1.600000,1.520000,1.560000,1.560000,42100
2019-01-14,1.550000,1.590000,1.520000,1.550000,1.550000,71600
2019-01-15,1.560000,1.660000,1.540000,1.560000,1.560000,123500
2019-01-16,1.570000,1.700000,1.510000,1.690000,1.690000,93300
2019-01-17,1.720000,1.900000,1.660000,1.820000,1.820000,273000
2019-01-18,1.840000,2.170000,1.840000,2.120000,2.120000,371300
2019-01-22,2.460000,2.520000,2.090000,2.270000,2.270000,602100
2019-01-23,2.270000,2.400000,2.020000,2.280000,2.280000,458900
2019-01-24,2.280000,2.280000,2.050000,2.200000,2.200000,282900
2019-01-25,2.260000,2.300000,2.160000,2.200000,2.200000,136300
2019-01-28,2.200000,2.270000,1.960000,2.000000,2.000000,362800
2019-01-29,2.020000,2.120000,1.930000,1.960000,1.960000,189200
2019-01-30,1.970000,2.030000,1.720000,1.920000,1.920000,300400
2019-01-31,1.900000,2.060000,1.870000,2.000000,2.000000,131400
2019-02-01,2.020000,2.060000,1.880000,2.000000,2.000000,151300
2019-02-04,2.010000,2.120000,1.960000,2.050000,2.050000,215000
2019-02-05,2.080000,2.200000,1.980000,2.000000,2.000000,163600
2019-02-06,2.020000,2.070000,1.800000,1.930000,1.930000,159800
2019-02-07,1.920000,2.000000,1.830000,1.990000,1.990000,72000
2019-02-08,1.980000,2.040000,1.920000,1.990000,1.990000,53200
2019-02-11,2.040000,2.040000,1.890000,1.990000,1.990000,75900
2019-02-12,2.010000,2.050000,1.960000,1.980000,1.980000,167800
2019-02-13,2.000000,2.020000,1.960000,1.990000,1.990000,90200
2019-02-14,1.990000,2.030000,1.920000,1.980000,1.980000,181400
2019-02-15,1.990000,2.010000,1.940000,1.950000,1.950000,96700
2019-02-19,1.960000,1.960000,1.850000,1.880000,1.880000,183800
2019-02-20,1.870000,2.000000,1.800000,1.980000,1.980000,161000
2019-02-21,1.990000,2.030000,1.960000,1.990000,1.990000,195200
2019-02-22,1.990000,2.050000,1.970000,2.050000,2.050000,196800
2019-02-25,2.120000,2.230000,1.960000,2.070000,2.070000,248700
2019-02-26,2.150000,2.300000,2.080000,2.270000,2.270000,277200
2019-02-27,2.380000,2.730000,2.050000,2.060000,2.060000,818000
2019-02-28,2.080000,2.220000,2.070000,2.070000,2.070000,215100
2019-03-01,2.090000,2.140000,2.050000,2.060000,2.060000,131500
2019-03-04,2.100000,2.290000,2.050000,2.290000,2.290000,247500
2019-03-05,2.340000,2.500000,2.120000,2.250000,2.250000,187100
2019-03-06,2.260000,2.320000,2.100000,2.120000,2.120000,158100
2019-03-07,2.130000,2.190000,2.080000,2.150000,2.150000,113300
2019-03-08,2.120000,2.230000,2.120000,2.150000,2.150000,67500
2019-03-11,2.180000,2.300000,2.110000,2.300000,2.300000,139800
2019-03-12,2.310000,2.440000,2.260000,2.380000,2.380000,97300
2019-03-13,2.390000,2.670000,2.200000,2.470000,2.470000,366900
2019-03-14,2.490000,3.050000,2.410000,2.930000,2.930000,695500
2019-03-15,3.010000,3.230000,2.670000,2.750000,2.750000,746300
2019-03-18,2.740000,2.970000,2.660000,2.740000,2.740000,178800
2019-03-19,3.100000,3.180000,2.560000,2.690000,2.690000,736700
2019-03-20,2.650000,2.650000,2.420000,2.540000,2.540000,349600
2019-03-21,2.450000,2.670000,2.260000,2.440000,2.440000,328600
2019-03-22,2.400000,2.430000,2.350000,2.360000,2.360000,152300
2019-03-25,2.360000,2.360000,2.110000,2.120000,2.120000,214500
2019-03-26,2.140000,2.210000,2.030000,2.040000,2.040000,183400
2019-03-27,2.040000,2.080000,1.950000,1.970000,1.970000,234100
2019-03-28,1.970000,2.030000,1.850000,1.870000,1.870000,251800
2019-03-29,1.900000,2.020000,1.800000,1.850000,1.850000,167000
2019-04-01,1.860000,2.000000,1.830000,1.940000,1.940000,167400
2019-04-02,1.900000,1.900000,1.400000,1.470000,1.470000,1150700
2019-04-03,1.470000,1.510000,1.450000,1.460000,1.460000,252900
2019-04-04,1.430000,1.510000,1.330000,1.430000,1.430000,672100
2019-04-05,1.420000,1.520000,1.420000,1.510000,1.510000,223800
2019-04-08,1.430000,1.650000,1.430000,1.490000,1.490000,273100
2019-04-09,1.470000,1.610000,1.470000,1.530000,1.530000,278900
2019-04-10,1.550000,1.590000,1.450000,1.460000,1.460000,190800
2019-04-11,1.420000,1.460000,1.400000,1.420000,1.420000,263500
2019-04-12,1.430000,1.460000,1.350000,1.370000,1.370000,253500
2019-04-15,1.370000,1.410000,1.230000,1.270000,1.270000,344200
2019-04-16,1.280000,1.350000,1.260000,1.300000,1.300000,106300
2019-04-17,1.300000,1.530000,1.300000,1.360000,1.360000,605200
2019-04-18,1.350000,1.380000,1.260000,1.270000,1.270000,297200
2019-04-22,1.260000,1.310000,1.240000,1.240000,1.240000,254100
2019-04-23,1.240000,1.390000,1.150000,1.320000,1.320000,459800
2019-04-24,1.320000,1.360000,1.240000,1.280000,1.280000,114500
2019-04-25,1.330000,1.590000,1.320000,1.440000,1.440000,3080700
2019-04-26,1.440000,1.470000,1.290000,1.410000,1.410000,364200
2019-04-29,1.400000,1.460000,1.290000,1.310000,1.310000,344700
2019-04-30,1.300000,1.340000,1.200000,1.260000,1.260000,343800
2019-05-01,1.260000,1.290000,1.230000,1.270000,1.270000,161100
2019-05-02,1.280000,1.280000,1.200000,1.220000,1.220000,171400
2019-05-03,1.230000,1.300000,1.180000,1.290000,1.290000,151800
2019-05-06,1.230000,1.290000,1.220000,1.250000,1.250000,85800
2019-05-07,1.230000,1.280000,1.220000,1.240000,1.240000,83000
2019-05-08,1.240000,1.440000,1.200000,1.370000,1.370000,657700
2019-05-09,1.330000,1.370000,1.220000,1.300000,1.300000,366000
2019-05-10,1.320000,1.320000,1.240000,1.290000,1.290000,196400
2019-05-13,1.320000,1.320000,1.150000,1.160000,1.160000,343700
2019-05-14,1.210000,1.210000,1.110000,1.130000,1.130000,454700
2019-05-15,1.130000,1.190000,1.050000,1.180000,1.180000,410600
2019-05-16,1.180000,1.240000,1.170000,1.190000,1.190000,132100
2019-05-17,1.170000,1.220000,1.140000,1.140000,1.140000,105800
2019-05-20,1.140000,1.190000,1.120000,1.170000,1.170000,161800
2019-05-21,1.170000,1.220000,1.150000,1.160000,1.160000,123600
2019-05-22,1.130000,1.160000,1.080000,1.100000,1.100000,346000
2019-05-23,1.100000,1.100000,1.000000,1.020000,1.020000,213400
2019-05-24,1.020000,1.070000,1.020000,1.040000,1.040000,85400
2019-05-28,1.060000,1.150000,1.050000,1.090000,1.090000,152800
2019-05-29,1.120000,1.120000,0.980000,1.030000,1.030000,227500
2019-05-30,1.010000,1.120000,1.010000,1.080000,1.080000,99100
2019-05-31,1.060000,1.070000,0.980000,1.000000,1.000000,219100
2019-06-03,1.000000,1.090000,1.000000,1.070000,1.070000,167500
2019-06-04,1.050000,1.100000,1.000000,1.010000,1.010000,164200
